iter	Logloss
0	0.67851586
1	0.6638546835
2	0.6496825995
3	0.6378315463
4	0.62548796
5	0.6139233471
6	0.6034639545
7	0.593129055
8	0.583837277
9	0.5745956241
10	0.5660138698
11	0.5580370185
12	0.5520358042
13	0.5448595314
14	0.5383277627
15	0.5324628453
16	0.5257323342
17	0.51981308
18	0.5142796059
19	0.5095325578
20	0.5048464824
21	0.5008903177
22	0.4962361909
23	0.4919992965
24	0.4877049268
25	0.4840348383
26	0.4807103641
27	0.4770851035
28	0.4738233684
29	0.470929177
30	0.4680295744
31	0.4650777813
32	0.462407146
33	0.4595403676
34	0.4574283781
35	0.454962747
36	0.452865446
37	0.4505201826
38	0.4485179855
39	0.4467481409
40	0.4451698219
41	0.4434924896
42	0.4418441631
43	0.4401098794
44	0.4384182216
45	0.4371776583
46	0.4357009099
47	0.4344313
48	0.4337204237
49	0.4324870704
50	0.4314175129
51	0.4300071596
52	0.4286896882
53	0.4276631604
54	0.4265156049
55	0.4253019392
56	0.4243075037
57	0.4231584515
58	0.4221430077
59	0.4211506343
60	0.4204314093
61	0.4195122581
62	0.4186811975
63	0.4178393836
64	0.4172187843
65	0.4165804518
66	0.4158129879
67	0.4151460125
68	0.4146860382
69	0.4140451459
70	0.4133202675
71	0.4124168139
72	0.4117243747
73	0.4110461254
74	0.4105632814
75	0.4099895297
76	0.4094369125
77	0.4090033286
78	0.408473259
79	0.4079587733
80	0.4074793076
81	0.4069277005
82	0.406471294
83	0.4058775603
84	0.4052264529
85	0.4048594752
86	0.4044738873
87	0.4039810987
88	0.4035419093
89	0.4030329795
90	0.4025764589
91	0.4021684785
92	0.4017398452
93	0.4013196203
94	0.4008645376
95	0.4004227249
96	0.3999496347
97	0.3996125949
98	0.3993430363
99	0.3989581017
100	0.3986560933
101	0.3982850825
102	0.3978951894
103	0.3975437853
104	0.3972485902
105	0.3970025206
106	0.3966492273
107	0.3963522307
108	0.3959903924
109	0.3957878379
110	0.3955717088
111	0.3952366275
112	0.3949612246
113	0.3946334049
114	0.3945843225
115	0.3943658132
116	0.3940993789
117	0.393884993
118	0.3936069171
119	0.3933223967
120	0.3930706032
121	0.392841164
122	0.3925316639
123	0.3922143672
124	0.3919811699
125	0.3916834562
126	0.3914175166
127	0.3911089146
128	0.3909107755
129	0.3906900013
130	0.3903793108
131	0.3901819502
132	0.3898943451
133	0.3896323557
134	0.3893244964
135	0.3891554453
136	0.3888539297
137	0.3886519477
138	0.3885054804
139	0.388221168
140	0.3880288724
141	0.3879032225
142	0.3875686371
143	0.3873771364
144	0.3871276301
145	0.3868901163
146	0.3867003876
147	0.3865648221
148	0.3863858721
149	0.3862836107
150	0.3860168225
151	0.3857804689
152	0.3856449529
153	0.3855279583
154	0.3853522436
155	0.3851254563
156	0.3849612537
157	0.3847984625
158	0.3847596143
159	0.3844707
160	0.3842570192
161	0.3840713639
162	0.3838823969
163	0.3836397919
164	0.3833738496
165	0.3832353381
166	0.3830693329
167	0.382951985
168	0.3828114192
169	0.3826052858
170	0.3824593288
171	0.3822948416
172	0.3821254193
173	0.3819876426
174	0.3818115127
175	0.3816985568
176	0.3815244183
177	0.3813670133
178	0.3812004366
179	0.3810317185
180	0.3808854586
181	0.3807788443
182	0.3805611469
183	0.3803716726
184	0.3801173739
185	0.3800037261
186	0.3798684878
187	0.3796287654
188	0.3794688479
189	0.3793109207
190	0.3791285259
191	0.3789728165
192	0.3788383713
193	0.3786370321
194	0.3784458598
195	0.3782492651
196	0.3780234681
197	0.3777994095
198	0.3776337833
199	0.3775085864
200	0.3773722566
201	0.377284403
202	0.3771850744
203	0.3769078273
204	0.3766919415
205	0.3765413753
206	0.3762838908
207	0.3761596633
208	0.3760511304
209	0.3758821298
210	0.3757912741
211	0.3757086737
212	0.3755276555
213	0.375336445
214	0.3752150964
215	0.3750522651
216	0.3749174187
217	0.3748304427
218	0.374703676
219	0.3746414827
220	0.3745518499
221	0.3744041257
222	0.3742611708
223	0.3740319726
224	0.3739260057
225	0.373768151
226	0.3736755276
227	0.373515067
228	0.3734304959
229	0.3731910153
230	0.3730844866
231	0.3730346514
232	0.3729012907
233	0.3728012558
234	0.3726868689
235	0.3725760748
236	0.3723683141
237	0.3723151166
238	0.3720726614
239	0.371922263
240	0.3717479622
241	0.3715940677
242	0.3714306824
243	0.3712695655
244	0.3711764924
245	0.3710397637
246	0.3708921744
247	0.3707030945
248	0.3705578254
249	0.3704367306
250	0.3703351301
251	0.370120551
252	0.3699721916
253	0.3698795006
254	0.3697521113
255	0.369609204
256	0.3695401143
257	0.3694551261
258	0.3692618945
259	0.3691436483
260	0.3690595836
261	0.368889414
262	0.3687975685
263	0.3686806731
264	0.3686029573
265	0.36841697
266	0.3682949064
267	0.3681987185
268	0.3680501517
269	0.3679099479
270	0.3677810382
271	0.3676672765
272	0.3675352268
273	0.3673738447
274	0.3671880367
275	0.3670989006
276	0.3669376735
277	0.3667999374
278	0.3666546474
279	0.3665316203
280	0.3663730114
281	0.3662275165
282	0.3660913648
283	0.3659349088
284	0.3657378321
285	0.3655841379
286	0.3655375192
287	0.3653881595
288	0.3652029743
289	0.3650295519
290	0.3649638423
291	0.3648322224
292	0.3647314198
293	0.364606781
294	0.3644256458
295	0.3642413703
296	0.3641968113
297	0.3639390129
298	0.3638174054
299	0.3637195705
300	0.363503606
301	0.3633681546
302	0.3632133322
303	0.3630552598
304	0.3628641042
305	0.3627515222
306	0.3626512083
307	0.3625875774
308	0.3624229073
309	0.362255984
310	0.3620777557
311	0.3620142227
312	0.3619227696
313	0.3618022165
314	0.3617100621
315	0.361556548
316	0.3614684119
317	0.3613849436
318	0.3612617075
319	0.3611298573
320	0.3610564189
321	0.360968042
322	0.3608553273
323	0.3607229888
324	0.3604985343
325	0.3603778776
326	0.3602028492
327	0.3600471361
328	0.3599960993
329	0.3598646417
330	0.3596958859
331	0.3594790665
332	0.3593683774
333	0.3592388041
334	0.3590515894
335	0.3589172743
336	0.3588130317
337	0.3586808189
338	0.3586319795
339	0.3584906478
340	0.3583442204
341	0.3582508803
342	0.3581311636
343	0.3580017619
344	0.3578969209
345	0.3577945816
346	0.3576460607
347	0.3575210543
348	0.357420534
349	0.3572831145
350	0.3571045113
351	0.3569744971
352	0.356913626
353	0.3568240494
354	0.3567536663
355	0.3566890075
356	0.3565568348
357	0.3564557244
358	0.3563564536
359	0.3562330836
360	0.3561248622
361	0.355957856
362	0.3558130739
363	0.3557533683
364	0.3556054001
365	0.3555173862
366	0.3553836039
367	0.3552439041
368	0.3551006516
369	0.35494033
370	0.3546732847
371	0.3545211594
372	0.3543853233
373	0.3542981004
374	0.3542048177
375	0.3540842002
376	0.3539988332
377	0.3539077226
378	0.3537630439
379	0.3536118303
380	0.3535512563
381	0.3534204727
382	0.3533717098
383	0.3532958497
384	0.3531722279
385	0.3530623304
386	0.3529912737
387	0.35290529
388	0.3527011729
389	0.3526235609
390	0.3524863841
391	0.3523468845
392	0.3522353124
393	0.3521557697
394	0.3521055996
395	0.352026377
396	0.3518710434
397	0.3517613737
398	0.3516528419
399	0.35159365
400	0.3515101749
401	0.3513893091
402	0.351240542
403	0.3511082066
404	0.3509929946
405	0.350862612
406	0.3507645927
407	0.3505847456
408	0.3504413741
409	0.3503246735
410	0.3502206129
411	0.3500545908
412	0.3500042236
413	0.3498829258
414	0.3498210008
415	0.3496376925
416	0.3495783045
417	0.3494635823
418	0.3493394867
419	0.3491911016
420	0.3490706688
421	0.3488962689
422	0.3487425913
423	0.34865867
424	0.3485323235
425	0.3484072667
426	0.3483468055
427	0.348288141
428	0.3481669823
429	0.3480607107
430	0.3479505235
431	0.3478633222
432	0.3477847241
433	0.3476991506
434	0.3475669952
435	0.3474686938
436	0.3473447451
437	0.3472245825
438	0.3470534089
439	0.3469656035
440	0.3468915377
441	0.3468464743
442	0.3467777428
443	0.3466206328
444	0.3464374595
445	0.3463086808
446	0.3462211472
447	0.3461242825
448	0.3459999455
449	0.3458781872
450	0.3457754448
451	0.3456958987
452	0.3455507305
453	0.3453791722
454	0.3452697773
455	0.3450979143
456	0.3449895599
457	0.3448903965
458	0.3447895467
459	0.3446457314
460	0.3445489888
461	0.3443814657
462	0.3443060115
463	0.3441711143
464	0.344027941
465	0.3439398574
466	0.3438449365
467	0.3437714138
468	0.3436595208
469	0.3435390257
470	0.3434443229
471	0.3432836903
472	0.3431504463
473	0.3430258387
474	0.3429737163
475	0.3429035589
476	0.3427962808
477	0.3426909528
478	0.3425506967
479	0.3423932524
480	0.3422594238
481	0.3421625022
482	0.3420646419
483	0.3419755245
484	0.3419043371
485	0.3418579842
486	0.3417726328
487	0.341659498
488	0.3415345237
489	0.3414022848
490	0.3413557582
491	0.3412746825
492	0.3411421701
493	0.3410175905
494	0.3409463929
495	0.3408797574
496	0.3407482648
497	0.3406401031
498	0.3404788445
499	0.3403283957
500	0.3402454162
501	0.3400587895
502	0.3400085952
503	0.339905054
504	0.3397437263
505	0.3396186759
506	0.3395349197
507	0.3393571025
508	0.339202372
509	0.3390002817
510	0.3388600029
511	0.3387134298
512	0.3386003965
513	0.3383808014
514	0.338239134
515	0.3381564463
516	0.338015367
517	0.3378323023
518	0.3377228109
519	0.3376641061
520	0.3375252018
521	0.3373837743
522	0.3372685154
523	0.3371040453
524	0.3369941048
525	0.3368585367
526	0.3367336215
527	0.336603392
528	0.336495721
529	0.3363297339
530	0.3362859198
531	0.3361782129
532	0.3361111903
533	0.33600995
534	0.3359036778
535	0.3358479355
536	0.3357096271
537	0.3356381204
538	0.3355024297
539	0.3354154057
540	0.3353004513
541	0.3351758954
542	0.3350738689
543	0.3349674491
544	0.3348184047
545	0.3347213054
546	0.3345183133
547	0.3344262247
548	0.3342711121
549	0.3342000376
550	0.3340460072
551	0.333972158
552	0.3337880215
553	0.3336593916
554	0.3335916415
555	0.3334955283
556	0.3334091428
557	0.3332953596
558	0.3332478797
559	0.3331996372
560	0.3331138209
561	0.3330072211
562	0.3328652826
563	0.3327536504
564	0.3326751
565	0.3325716041
566	0.3324078084
567	0.3323184353
568	0.3322190207
569	0.3320482033
570	0.3319512404
571	0.3317918185
572	0.3316840289
573	0.3314959897
574	0.3314009771
575	0.3313113305
576	0.3312337472
577	0.3310262613
578	0.3309220509
579	0.3308097441
580	0.3307778868
581	0.3306391671
582	0.3304631274
583	0.330351587
584	0.3302054093
585	0.3300938183
586	0.3299990006
587	0.3298492897
588	0.3296896643
589	0.3296010561
590	0.3295426267
591	0.3294971839
592	0.3293640919
593	0.3292975012
594	0.329207755
595	0.3290486467
596	0.3289813316
597	0.3289378348
598	0.328773899
599	0.3286927649
600	0.3285802682
601	0.3285302347
602	0.3284100007
603	0.3283513778
604	0.3282543861
605	0.3281270314
606	0.3280012734
607	0.3278521446
608	0.3277213774
609	0.3276017963
610	0.3275248556
611	0.3274371075
612	0.3273111497
613	0.3271317516
614	0.3270534463
615	0.3269213608
616	0.3268295854
617	0.3267547456
618	0.3267221941
619	0.3265432824
620	0.3264107796
621	0.3262831781
622	0.3262264438
623	0.3261753079
624	0.3261138045
625	0.3259896742
626	0.3258928878
627	0.3257804543
628	0.3256504704
629	0.3255233707
630	0.3254234804
631	0.3253548227
632	0.3252551311
633	0.3251297501
634	0.3250118397
635	0.3249137248
636	0.324817119
637	0.3246540814
638	0.3245627654
639	0.3244053369
640	0.3243312401
641	0.3242121085
642	0.3241124152
643	0.3239991919
644	0.3239287131
645	0.3238194534
646	0.3237225445
647	0.3236533965
648	0.3235876785
649	0.3235179317
650	0.3234383687
651	0.3233298761
652	0.3232324108
653	0.3230812806
654	0.3230055511
655	0.3228830844
656	0.3228457475
657	0.3227449691
658	0.3226866175
659	0.3226009195
660	0.322436964
661	0.3223124379
662	0.3222084833
663	0.3221115184
664	0.3220402871
665	0.3219486485
666	0.3218581375
667	0.3217762155
668	0.3217163812
669	0.3216246318
670	0.3214976904
671	0.3214473381
672	0.3213706237
673	0.3212822434
674	0.3212133422
675	0.3210715822
676	0.3209487586
677	0.3208210007
678	0.3207800072
679	0.320659429
680	0.3205645868
681	0.3204617146
682	0.320371983
683	0.3203541011
684	0.3202585584
685	0.3201193926
686	0.3199557202
687	0.3198568189
688	0.3197410804
689	0.3195963318
690	0.3195013801
691	0.3193836745
692	0.3193042388
693	0.3191833494
694	0.3190335422
695	0.3189127724
696	0.3188645693
697	0.3187320194
698	0.3186179778
699	0.3185131825
700	0.3184650507
701	0.318440248
702	0.3183240548
703	0.318184349
704	0.3180520353
705	0.3179584165
706	0.3178494595
707	0.3177581418
708	0.3176734532
709	0.3175577966
710	0.3174428991
711	0.3174056794
712	0.3172805658
713	0.317154116
714	0.3170397509
715	0.316913447
716	0.3168272111
717	0.3167809144
718	0.31667064
719	0.3165472021
720	0.3164712095
721	0.3163425382
722	0.3162079782
723	0.3160796456
724	0.3159910106
725	0.3158936341
726	0.3157898694
727	0.3157033241
728	0.3155857333
729	0.3154953168
730	0.3154156935
731	0.3153453782
732	0.3152707191
733	0.3152230423
734	0.3151275255
735	0.3149732278
736	0.3148447557
737	0.3147178633
738	0.3146157805
739	0.3145238506
740	0.3144036688
741	0.3143577797
742	0.3142519452
743	0.3142360599
744	0.3141378049
745	0.314073155
746	0.3140205151
747	0.3139417505
748	0.3138758187
749	0.3137142704
750	0.3135996808
751	0.3135130979
752	0.3134273033
753	0.3133392919
754	0.3132351553
755	0.313146049
756	0.31304399
757	0.3129428212
758	0.3128590144
759	0.312762384
760	0.3126683854
761	0.3125145433
762	0.3123632441
763	0.312230911
764	0.3121540029
765	0.31211038
766	0.3120117329
767	0.3118972853
768	0.3118155766
769	0.3117361901
770	0.3116409631
771	0.3115653515
772	0.3114235501
773	0.3113158003
774	0.3112257069
775	0.3111139103
776	0.3110325209
777	0.3109847569
778	0.3109082255
779	0.3107685571
780	0.3106734592
781	0.3105539724
782	0.3104355473
783	0.3103502755
784	0.3102069577
785	0.3100699768
786	0.3099706407
787	0.3098554266
788	0.3097526264
789	0.3096162285
790	0.3095331674
791	0.3094309615
792	0.3093344349
793	0.3092579357
794	0.3091763095
795	0.3090796616
796	0.3089860248
797	0.3089009566
798	0.3087750058
799	0.3086606364
800	0.3085768013
801	0.3085332658
802	0.3084999082
803	0.308418922
804	0.3083120015
805	0.3082020483
806	0.3081717125
807	0.3081238705
808	0.3080579897
809	0.3079187822
810	0.3078033459
811	0.3077765
812	0.307669824
813	0.3076066991
814	0.3075535817
815	0.307424475
816	0.307326803
817	0.3072692403
818	0.3071727996
819	0.3070597076
820	0.3070181842
821	0.306922717
822	0.3068467083
823	0.3067812938
824	0.3067058847
825	0.3066130917
826	0.3065221221
827	0.3064862286
828	0.306408342
829	0.3063453217
830	0.3062155433
831	0.3060918218
832	0.3059897839
833	0.3058757408
834	0.3057939191
835	0.3057057964
836	0.3056498739
837	0.3055869664
838	0.3054561921
839	0.3053883709
840	0.3053570751
841	0.3052770812
842	0.3052170862
843	0.3051065001
844	0.3050797
845	0.3049938672
846	0.3049580945
847	0.3048661185
848	0.3047960893
849	0.3047127545
850	0.3046249343
851	0.3045236179
852	0.3044371499
853	0.3043515146
854	0.3042113733
855	0.3041373605
856	0.3040215467
857	0.3039566987
858	0.3039043945
859	0.3037833171
860	0.3036583857
861	0.3035168944
862	0.3034558199
863	0.3032864548
864	0.3031844476
865	0.3031504899
866	0.3030863003
867	0.3029524114
868	0.3028306455
869	0.3027259949
870	0.3026202484
871	0.3025264508
872	0.3024302461
873	0.3023528366
874	0.3022555431
875	0.3021688456
876	0.3020477108
877	0.3019643233
878	0.3019176006
879	0.3018173422
880	0.3017496309
881	0.3016497966
882	0.3015533157
883	0.3014605195
884	0.301368899
885	0.3013115142
886	0.3012355284
887	0.3012075982
888	0.3011071355
889	0.3010363635
890	0.300997401
891	0.3009391305
892	0.3008536594
893	0.3007181689
894	0.3006798793
895	0.300613942
896	0.3005318228
897	0.3004113764
898	0.3003442659
899	0.3002251318
900	0.3001292603
901	0.3000623338
902	0.3000161981
903	0.2999102697
904	0.2998398945
905	0.2998142012
906	0.2997270612
907	0.2996394079
908	0.2996023989
909	0.299554502
910	0.2994480922
911	0.2993266084
912	0.2992805078
913	0.2992129331
914	0.2990957932
915	0.2990119386
916	0.2989190171
