iter	Passed	Remaining
0	208	208685
1	234	117082
2	247	82255
3	254	63386
4	263	52392
5	270	44867
6	279	39686
7	287	35631
8	295	32589
9	303	30079
10	312	28064
11	319	26335
12	327	24836
13	334	23579
14	345	22657
15	352	21695
16	360	20862
17	368	20098
18	376	19449
19	384	18838
20	392	18298
21	400	17820
22	408	17371
23	416	16944
24	425	16588
25	433	16226
26	441	15906
27	449	15589
28	457	15316
29	465	15051
30	473	14808
31	481	14565
32	490	14361
33	497	14146
34	507	13986
35	515	13802
36	523	13626
37	531	13456
38	539	13290
39	547	13144
40	555	12983
41	562	12839
42	570	12695
43	578	12570
44	586	12439
45	592	12283
46	600	12184
47	608	12074
48	615	11946
49	622	11835
50	632	11761
51	639	11666
52	648	11593
53	656	11503
54	666	11448
55	674	11361
56	683	11301
57	690	11221
58	699	11152
59	707	11076
60	715	11009
61	722	10933
62	730	10862
63	738	10794
64	746	10740
65	754	10675
66	762	10619
67	770	10557
68	778	10507
69	786	10448
70	794	10400
71	803	10353
72	811	10300
73	820	10266
74	828	10214
75	834	10151
76	843	10113
77	850	10054
78	859	10020
79	867	9975
80	877	9959
81	887	9940
82	894	9884
83	902	9841
84	909	9794
85	918	9757
86	925	9716
87	935	9690
88	942	9648
89	951	9616
90	958	9577
91	966	9542
92	974	9501
93	982	9469
94	990	9438
95	999	9409
96	1007	9382
97	1016	9355
98	1023	9319
99	1032	9290
100	1039	9256
101	1048	9228
102	1056	9197
103	1064	9170
104	1071	9137
105	1080	9109
106	1088	9081
107	1096	9057
108	1108	9059
109	1117	9041
110	1125	9011
111	1133	8989
112	1141	8957
113	1151	8947
114	1155	8896
115	1164	8876
116	1172	8848
117	1181	8832
118	1191	8818
119	1199	8795
120	1207	8772
121	1215	8747
122	1222	8719
123	1231	8700
124	1239	8674
125	1247	8653
126	1255	8629
127	1263	8608
128	1271	8584
129	1279	8563
130	1287	8538
131	1295	8519
132	1303	8497
133	1313	8488
134	1321	8467
135	1329	8446
136	1338	8429
137	1345	8405
138	1354	8389
139	1362	8369
140	1370	8348
141	1378	8326
142	1386	8307
143	1393	8283
144	1401	8265
145	1409	8244
146	1417	8223
147	1424	8203
148	1432	8181
149	1440	8164
150	1448	8143
151	1456	8126
152	1464	8108
153	1474	8099
154	1482	8083
155	1490	8063
156	1498	8045
157	1506	8029
158	1512	7997
159	1521	7985
160	1528	7966
161	1537	7952
162	1544	7932
163	1553	7921
164	1561	7902
165	1570	7888
166	1577	7871
167	1587	7862
168	1596	7847
169	1603	7828
170	1611	7814
171	1619	7795
172	1628	7783
173	1636	7770
174	1645	7755
175	1652	7736
176	1660	7722
177	1668	7705
178	1676	7690
179	1683	7671
180	1691	7654
181	1699	7637
182	1707	7621
183	1715	7607
184	1723	7590
185	1731	7576
186	1738	7559
187	1747	7547
188	1755	7530
189	1763	7518
190	1771	7502
191	1780	7491
192	1787	7475
193	1797	7466
194	1805	7453
195	1813	7439
196	1822	7428
197	1830	7412
198	1836	7393
199	1844	7379
200	1851	7360
201	1860	7349
202	1868	7334
203	1877	7324
204	1884	7308
205	1893	7297
206	1900	7281
207	1909	7269
208	1916	7254
209	1925	7244
210	1933	7229
211	1941	7218
212	1949	7203
213	1959	7197
214	1967	7184
215	1975	7170
216	1982	7154
217	1990	7141
218	1998	7126
219	2006	7112
220	2013	7098
221	2022	7087
222	2029	7070
223	2038	7061
224	2045	7047
225	2054	7037
226	2062	7023
227	2070	7011
228	2078	6997
229	2086	6986
230	2094	6972
231	2103	6962
232	2110	6948
233	2120	6941
234	2128	6929
235	2136	6917
236	2144	6905
237	2152	6893
238	2164	6891
239	2171	6877
240	2181	6868
241	2187	6853
242	2196	6841
243	2215	6863
244	2222	6848
245	2231	6840
246	2239	6826
247	2248	6817
248	2256	6804
249	2265	6795
250	2272	6782
251	2283	6777
252	2291	6765
253	2299	6753
254	2307	6742
255	2315	6729
256	2323	6718
257	2331	6705
258	2339	6693
259	2347	6680
260	2355	6668
261	2363	6656
262	2370	6644
263	2378	6631
264	2386	6618
265	2394	6607
266	2402	6594
267	2410	6583
268	2417	6570
269	2426	6560
270	2434	6547
271	2443	6540
272	2451	6527
273	2459	6516
274	2467	6504
275	2484	6516
276	2491	6503
277	2500	6493
278	2508	6481
279	2516	6470
280	2524	6458
281	2532	6446
282	2539	6434
283	2547	6421
284	2554	6409
285	2561	6396
286	2570	6385
287	2577	6372
288	2586	6363
289	2593	6350
290	2603	6343
291	2611	6331
292	2619	6320
293	2627	6308
294	2636	6301
295	2644	6290
296	2652	6278
297	2660	6268
298	2668	6255
299	2676	6244
300	2683	6232
301	2691	6220
302	2699	6210
303	2707	6198
304	2715	6187
305	2723	6176
306	2731	6166
307	2738	6153
308	2747	6144
309	2755	6133
310	2765	6125
311	2773	6115
312	2781	6104
313	2789	6093
314	2797	6082
315	2804	6069
316	2812	6060
317	2819	6047
318	2829	6039
319	2837	6030
320	2845	6019
321	2852	6005
322	2861	5997
323	2869	5986
324	2877	5975
325	2886	5968
326	2894	5958
327	2902	5947
328	2910	5935
329	2917	5923
330	2926	5915
331	2935	5906
332	2943	5895
333	2951	5885
334	2958	5873
335	2967	5864
336	2975	5853
337	2983	5843
338	2990	5831
339	2999	5821
340	3006	5811
341	3014	5800
342	3022	5789
343	3029	5777
344	3038	5768
345	3046	5758
346	3053	5746
347	3061	5735
348	3069	5724
349	3076	5713
350	3085	5705
351	3093	5694
352	3101	5683
353	3108	5672
354	3116	5662
355	3123	5651
356	3132	5641
357	3139	5630
358	3148	5620
359	3155	5610
360	3164	5601
361	3172	5590
362	3180	5581
363	3194	5582
364	3202	5571
365	3211	5562
366	3227	5566
367	3234	5555
368	3244	5547
369	3251	5537
370	3261	5529
371	3269	5518
372	3277	5509
373	3285	5499
374	3294	5490
375	3301	5479
376	3309	5469
377	3316	5458
378	3325	5448
379	3333	5438
380	3342	5430
381	3350	5419
382	3359	5411
383	3366	5400
384	3373	5388
385	3379	5375
386	3385	5362
387	3390	5348
388	3396	5335
389	3402	5321
390	3408	5308
391	3413	5294
392	3420	5283
393	3426	5270
394	3433	5258
395	3439	5245
396	3444	5232
397	3450	5219
398	3456	5206
399	3461	5192
400	3468	5181
401	3474	5168
402	3479	5154
403	3486	5143
404	3491	5130
405	3497	5117
406	3503	5104
407	3509	5092
408	3515	5079
409	3521	5067
410	3526	5054
411	3533	5043
412	3539	5030
413	3544	5017
414	3551	5006
415	3557	4993
416	3563	4981
417	3569	4969
418	3575	4957
419	3582	4946
420	3587	4934
421	3593	4921
422	3599	4910
423	3605	4898
424	3612	4886
425	3617	4874
426	3623	4862
427	3630	4851
428	3635	4838
429	3641	4826
430	3647	4815
431	3653	4803
432	3659	4791
433	3664	4779
434	3670	4767
435	3679	4760
436	3685	4747
437	3691	4736
438	3697	4725
439	3703	4713
440	3709	4701
441	3714	4689
442	3720	4677
443	3728	4668
444	3734	4657
445	3740	4646
446	3745	4634
447	3751	4622
448	3757	4611
449	3763	4599
450	3768	4587
451	3774	4576
452	3780	4565
453	3788	4555
454	3794	4544
455	3799	4533
456	3806	4522
457	3811	4510
458	3817	4498
459	3823	4488
460	3829	4477
461	3834	4465
462	3841	4455
